Category,Date,Sales
Facial Cleanser,11/1/2023,2639
Makeup Remover,11/1/2023,2926
Eye Cream,11/1/2023,2949
Immunity Boost,11/1/2023,1200
Hair Serum,12/1/2023,4000
Shampoo,12/1/2023,3652
Conditioner,12/1/2023,3150
Hair Mask,12/1/2023,2756
Leave in,12/1/2023,3661
Hair Treatment,12/1/2023,3536
Oil,12/1/2023,3297
Shower Gel,12/1/2023,2961
Body Lotion,12/1/2023,3627
Body Splash,12/1/2023,3595
Roll-on,12/1/2023,3604
Body Cream,12/1/2023,3441
Body Soap,12/1/2023,3620
Face Serum,12/1/2023,3095
Face Cream,12/1/2023,3577
Facial Cleanser,12/1/2023,3450
Makeup Remover,12/1/2023,3758
Eye Cream,12/1/2023,3792
Immunity Boost,12/1/2023,1400
Hair Serum,1/1/2024,2998
Shampoo,1/1/2024,1870
Conditioner,1/1/2024,1800
Hair Mask,1/1/2024,1642
Leave in,1/1/2024,1688
Hair Treatment,1/1/2024,1738
Oil,1/1/2024,2801
Shower Gel,1/1/2024,1837
Body Lotion,1/1/2024,1679
Body Splash,1/1/2024,1777
Roll-on,1/1/2024,1875
Body Cream,1/1/2024,1823
Body Soap,1/1/2024,1712
Face Serum,1/1/2024,1665
Face Cream,1/1/2024,2692
Facial Cleanser,1/1/2024,1871
Makeup Remover,1/1/2024,1983
Eye Cream,1/1/2024,4000
Immunity Boost,1/1/2024,900
Hair Serum,2/1/2024,3130
Shampoo,2/1/2024,2300
Conditioner,2/1/2024,2320
Hair Mask,2/1/2024,2200
Leave in,2/1/2024,2196
Hair Treatment,2/1/2024,2036
Oil,2/1/2024,2968
Shower Gel,2/1/2024,2245
Body Lotion,2/1/2024,2189
Body Splash,2/1/2024,2241
Roll-on,2/1/2024,2084
Body Cream,2/1/2024,2265
Body Soap,2/1/2024,2331
Face Serum,2/1/2024,2241
Face Cream,2/1/2024,3066
Facial Cleanser,2/1/2024,2208
Makeup Remover,2/1/2024,2210
Eye Cream,2/1/2024,4200
Immunity Boost,2/1/2024,950
Hair Serum,3/1/2024,3500
Shampoo,3/1/2024,2970
Conditioner,3/1/2024,2870
Hair Mask,3/1/2024,2642
Leave in,3/1/2024,2800
Hair Treatment,3/1/2024,2919
Oil,3/1/2024,3602
Shower Gel,3/1/2024,2893
Body Lotion,3/1/2024,2874
Body Splash,3/1/2024,2619
Roll-on,3/1/2024,3170
Body Cream,3/1/2024,2782
Body Soap,3/1/2024,2797
Face Serum,3/1/2024,2725
Face Cream,3/1/2024,3657
Facial Cleanser,3/1/2024,3042
Makeup Remover,3/1/2024,3239
Eye Cream,3/1/2024,4400
Immunity Boost,3/1/2024,1000
Hair Serum,4/1/2024,3640
Shampoo,4/1/2024,3120
Conditioner,4/1/2024,3090
Hair Mask,4/1/2024,2987
Leave in,4/1/2024,3163
Hair Treatment,4/1/2024,3242
Oil,4/1/2024,3600
Shower Gel,4/1/2024,3105
Body Lotion,4/1/2024,3210
Body Splash,4/1/2024,3000
Roll-on,4/1/2024,3303
Body Cream,4/1/2024,3099
Body Soap,4/1/2024,3173
Face Serum,4/1/2024,3393
Face Cream,4/1/2024,3820
Facial Cleanser,4/1/2024,3380
Makeup Remover,4/1/2024,3469
Eye Cream,4/1/2024,4600
Immunity Boost,4/1/2024,1050
Hair Serum,5/1/2024,3978
Shampoo,5/1/2024,3540
Conditioner,5/1/2024,3354
Hair Mask,5/1/2024,3165
Leave in,5/1/2024,3475
Hair Treatment,5/1/2024,3184
Oil,5/1/2024,3782
Shower Gel,5/1/2024,3338
Body Lotion,5/1/2024,3506
Body Splash,5/1/2024,3201
Roll-on,5/1/2024,3568
Body Cream,5/1/2024,3219
Body Soap,5/1/2024,3237
Face Serum,5/1/2024,3690
Face Cream,5/1/2024,3746
Facial Cleanser,5/1/2024,3553
Makeup Remover,5/1/2024,3560
Eye Cream,5/1/2024,4800
Immunity Boost,5/1/2024,1100
Hair Serum,6/1/2024,4300
Shampoo,6/1/2024,4201
Conditioner,6/1/2024,4100
Hair Mask,6/1/2024,3965
Leave in,6/1/2024,4207
Hair Treatment,6/1/2024,3794
Oil,6/1/2024,4213
Shower Gel,6/1/2024,4180
Body Lotion,6/1/2024,4287
Body Splash,6/1/2024,3995
Roll-on,6/1/2024,4616
Body Cream,6/1/2024,3932
Body Soap,6/1/2024,3962
Face Serum,6/1/2024,4279
Face Cream,6/1/2024,4142
Facial Cleanser,6/1/2024,4239
Makeup Remover,6/1/2024,4053
Eye Cream,6/1/2024,3943
Immunity Boost,6/1/2024,1150
Hair Serum,7/1/2024,3876
Shampoo,7/1/2024,3740
Conditioner,7/1/2024,4003
Hair Mask,7/1/2024,3506
Leave in,7/1/2024,3737
Hair Treatment,7/1/2024,3787
Oil,7/1/2024,3827
Shower Gel,7/1/2024,3650
Body Lotion,7/1/2024,3940
Body Splash,7/1/2024,3556
Roll-on,7/1/2024,4165
Body Cream,7/1/2024,3478
Body Soap,7/1/2024,3678
Face Serum,7/1/2024,3936
Face Cream,7/1/2024,4017
Facial Cleanser,7/1/2024,3723
Makeup Remover,7/1/2024,3750
Eye Cream,7/1/2024,5200
Immunity Boost,7/1/2024,1200
Hair Serum,8/1/2024,4845
Shampoo,8/1/2024,4326
Conditioner,8/1/2024,4192
Hair Mask,8/1/2024,4078
Leave in,8/1/2024,4375
Hair Treatment,8/1/2024,4154
Oil,8/1/2024,4728
Shower Gel,8/1/2024,4231
Body Lotion,8/1/2024,4488
Body Splash,8/1/2024,4128
Roll-on,8/1/2024,4664
Body Cream,8/1/2024,3872
Body Soap,8/1/2024,3905
Face Serum,8/1/2024,4642
Face Cream,8/1/2024,4826
Facial Cleanser,8/1/2024,4413
Makeup Remover,8/1/2024,4336
Eye Cream,8/1/2024,5400
Immunity Boost,8/1/2024,1300
Hair Serum,9/1/2024,5202
Shampoo,9/1/2024,4966
Conditioner,9/1/2024,4820
Hair Mask,9/1/2024,4838
Leave in,9/1/2024,5083
Hair Treatment,9/1/2024,4743
Oil,9/1/2024,5063
Shower Gel,9/1/2024,4826
Body Lotion,9/1/2024,5199
Body Splash,9/1/2024,4466
Roll-on,9/1/2024,5366
Body Cream,9/1/2024,4576
Body Soap,9/1/2024,4876
Face Serum,9/1/2024,5298
Face Cream,9/1/2024,5130
Facial Cleanser,9/1/2024,4954
Makeup Remover,9/1/2024,5110
Eye Cream,9/1/2024,5600
Immunity Boost,9/1/2024,1400
Hair Serum,10/1/2024,6120
Shampoo,10/1/2024,5865
Conditioner,10/1/2024,5670
Hair Mask,10/1/2024,5401
Leave in,10/1/2024,5869
Hair Treatment,10/1/2024,5817
Oil,10/1/2024,5885
Shower Gel,10/1/2024,5740
Body Lotion,10/1/2024,6066
Body Splash,10/1/2024,5541
Roll-on,10/1/2024,6202
Body Cream,10/1/2024,5542
Body Soap,10/1/2024,5636
Face Serum,10/1/2024,5896
Face Cream,10/1/2024,6058
Facial Cleanser,10/1/2024,6016
Makeup Remover,10/1/2024,6253
Eye Cream,10/1/2024,5800
Immunity Boost,10/1/2024,1500
Hair Serum,11/1/2024,5340
Shampoo,11/1/2024,4920
Conditioner,11/1/2024,4793
Hair Mask,11/1/2024,4591
Leave in,11/1/2024,4850
Hair Treatment,11/1/2024,4593
Oil,11/1/2024,5171
Shower Gel,11/1/2024,4670
Body Lotion,11/1/2024,4911
Body Splash,11/1/2024,4638
Roll-on,11/1/2024,5185
Body Cream,11/1/2024,4534
Body Soap,11/1/2024,4631
Face Serum,11/1/2024,4829
Face Cream,11/1/2024,5201
Facial Cleanser,11/1/2024,5132
Makeup Remover,11/1/2024,5202
Eye Cream,11/1/2024,6000
Immunity Boost,11/1/2024,1550
Hair Serum,12/1/2024,5925
Shampoo,12/1/2024,5652
Conditioner,12/1/2024,5679
Hair Mask,12/1/2024,5072
Leave in,12/1/2024,5629
Hair Treatment,12/1/2024,5388
Oil,12/1/2024,5818
Shower Gel,12/1/2024,5506
Body Lotion,12/1/2024,5836
Body Splash,12/1/2024,5539
Roll-on,12/1/2024,5958
Body Cream,12/1/2024,5485
Body Soap,12/1/2024,5609
Face Serum,12/1/2024,5752
Face Cream,12/1/2024,5916
Facial Cleanser,12/1/2024,5637
Makeup Remover,12/1/2024,5845
Eye Cream,12/1/2024,6200
Immunity Boost,12/1/2024,1600
